ligne,puissance_reel,p_pd,p_nomad,diff_pd,diff_nomad,nb_iter,t_pd,t_nomad,nb_turbines,nb_actives_pd,convergence
0,179.17374710083007,190.07472576517364,190.07472576517364,10.900978664343569,10.900978664343569,341,0.026954200002364814,33.33570459999828,5,4,"[(1, 179.0457974334), (3, 179.7989245787), (11, 180.2183720041), (16, 180.285173334), (18, 180.6727925662), (25, 180.6952849507), (28, 180.9511590604), (34, 181.746945053), (36, 181.7722340467), (37, 181.9303229483), (39, 182.0982008684), (46, 182.099198383), (49, 182.2412387315), (52, 182.2794311866), (53, 182.3464675014), (54, 182.9781270994), (57, 183.3279941515), (58, 184.2897163452), (59, 185.2423017403), (60, 186.5353984495), (64, 187.2680349001), (65, 188.8674180231), (80, 189.6636450635), (81, 189.81686774), (115, 189.9612870802), (145, 190.0180656507), (157, 190.0747257652), (341, 190.0747257652)]"
1,179.50035888671874,190.01946957011648,190.01946957011648,10.519110683397741,10.519110683397741,373,0.026927099999738857,35.274425900002825,5,4,"[(1, 178.9929477458), (3, 179.746028074), (11, 180.165273292), (16, 180.2324907952), (18, 180.620176077), (25, 180.642544132), (28, 180.898254376), (34, 181.6929655766), (36, 181.7182786106), (37, 181.8754062986), (39, 182.0429966999), (46, 182.0450183434), (49, 182.1868752008), (52, 182.2251357176), (53, 182.2915843734), (54, 182.9233222884), (57, 183.2736166913), (58, 184.2352997497), (59, 185.1876946923), (60, 186.4804426466), (64, 187.2138366277), (65, 188.8130009052), (80, 188.8973122671), (81, 189.2607755496), (84, 189.2947890287), (114, 189.3129554056), (131, 189.5781849565), (135, 189.6707902784), (146, 189.9610446257), (167, 189.9622094316), (193, 190.0194695701), (373, 190.0194695701)]"
2,179.12560611724854,190.01946957011648,190.01946957011648,10.893863452867947,10.893863452867947,373,0.02643569999781903,33.953760699994746,5,4,"[(1, 178.9929477458), (3, 179.746028074), (11, 180.165273292), (16, 180.2324907952), (18, 180.620176077), (25, 180.642544132), (28, 180.898254376), (34, 181.6929655766), (36, 181.7182786106), (37, 181.8754062986), (39, 182.0429966999), (46, 182.0450183434), (49, 182.1868752008), (52, 182.2251357176), (53, 182.2915843734), (54, 182.9233222884), (57, 183.2736166913), (58, 184.2352997497), (59, 185.1876946923), (60, 186.4804426466), (64, 187.2138366277), (65, 188.8130009052), (80, 188.8973122671), (81, 189.2607755496), (84, 189.2947890287), (114, 189.3129554056), (131, 189.5781849565), (135, 189.6707902784), (146, 189.9610446257), (167, 189.9622094316), (193, 190.0194695701), (373, 190.0194695701)]"
3,179.50732151031494,190.01946957011648,190.01946957011648,10.512148059801547,10.512148059801547,373,0.02823519999947166,33.80228060000081,5,4,"[(1, 178.9929477458), (3, 179.746028074), (11, 180.165273292), (16, 180.2324907952), (18, 180.620176077), (25, 180.642544132), (28, 180.898254376), (34, 181.6929655766), (36, 181.7182786106), (37, 181.8754062986), (39, 182.0429966999), (46, 182.0450183434), (49, 182.1868752008), (52, 182.2251357176), (53, 182.2915843734), (54, 182.9233222884), (57, 183.2736166913), (58, 184.2352997497), (59, 185.1876946923), (60, 186.4804426466), (64, 187.2138366277), (65, 188.8130009052), (80, 188.8973122671), (81, 189.2607755496), (84, 189.2947890287), (114, 189.3129554056), (131, 189.5781849565), (135, 189.6707902784), (146, 189.9610446257), (167, 189.9622094316), (193, 190.0194695701), (373, 190.0194695701)]"
4,178.30390533447266,188.72854480995176,188.72854480995176,10.424639475479097,10.424639475479097,345,0.026567499997327104,32.80832070000179,5,4,"[(1, 177.2796754929), (3, 177.9152253204), (11, 178.2969853042), (14, 178.3253407743), (16, 178.5187693941), (18, 178.8190079813), (22, 178.8298533001), (25, 179.0251385796), (29, 180.0179854511), (35, 180.1051787322), (38, 180.3920851836), (39, 180.690923272), (44, 180.8111588546), (45, 180.960499058), (48, 181.976922822), (49, 183.7618010901), (52, 184.4896593361), (53, 186.8590941367), (75, 188.5145372787), (125, 188.6228009744), (136, 188.6682130857), (138, 188.6808603135), (148, 188.72854481), (345, 188.72854481)]"
5,178.724086227417,188.72854480995176,188.72854480995176,10.004458582534767,10.004458582534767,345,0.02648070000577718,31.68049649999739,5,4,"[(1, 177.2796754929), (3, 177.9152253204), (11, 178.2969853042), (14, 178.3253407743), (16, 178.5187693941), (18, 178.8190079813), (22, 178.8298533001), (25, 179.0251385796), (29, 180.0179854511), (35, 180.1051787322), (38, 180.3920851836), (39, 180.690923272), (44, 180.8111588546), (45, 180.960499058), (48, 181.976922822), (49, 183.7618010901), (52, 184.4896593361), (53, 186.8590941367), (75, 188.5145372787), (125, 188.6228009744), (136, 188.6682130857), (138, 188.6808603135), (148, 188.72854481), (345, 188.72854481)]"
6,179.2677744293213,189.96413231687058,189.96413231687058,10.696357887549283,10.696357887549283,346,0.02821589999803109,32.938630399999965,5,4,"[(1, 178.9399819517), (3, 179.6930194625), (11, 180.1120719432), (16, 180.1796902932), (18, 180.5674484884), (25, 180.5896926095), (28, 180.8452433496), (34, 181.638889051), (36, 181.6642289492), (37, 181.8204056308), (39, 181.9877100364), (46, 181.9907452183), (49, 182.1324214206), (52, 182.1707475502), (53, 182.2366164613), (54, 182.8684326346), (57, 183.21914966), (58, 184.1807942774), (59, 185.1330046745), (60, 186.4254081209), (64, 187.1595509799), (65, 188.7584978482), (71, 188.7765639341), (102, 189.3016385944), (125, 189.5648793928), (128, 189.9641323169), (346, 189.9641323169)]"
7,178.0424252319336,188.67344351766823,188.67344351766823,10.631018285734626,10.631018285734626,348,0.026880800003709737,32.86299679999502,5,4,"[(1, 177.2272745855), (3, 177.8628188507), (11, 178.2444082685), (14, 178.2734306576), (16, 178.4665387226), (18, 178.7668639415), (22, 178.777031437), (25, 178.9723291521), (29, 179.9643195164), (35, 180.050470183), (38, 180.3378905844), (39, 180.6373060815), (44, 180.7562901321), (45, 180.9055536844), (48, 181.9232711151), (49, 183.7082673413), (52, 184.4336764697), (53, 186.8025863281), (65, 187.6527643552), (69, 188.2066409883), (115, 188.4115983114), (118, 188.5234715358), (141, 188.6171839523), (143, 188.6734435177), (348, 188.6734435177)]"
8,176.70497261047365,185.9986744352854,185.9986744352854,9.293701824811762,9.293701824811762,382,0.026341400000092108,37.48773599999549,5,4,"[(1, 173.3126451187), (3, 174.4382278939), (5, 174.5651941604), (11, 175.3779556245), (30, 175.513633231), (31, 175.6324255452), (33, 175.8939012112), (35, 176.0866913264), (36, 176.4396807012), (38, 176.7590362893), (39, 176.924925742), (61, 177.1395858579), (62, 177.4002471088), (77, 177.8096471544), (78, 178.7277724805), (85, 179.2196977692), (86, 182.215774137), (90, 182.2435811779), (93, 182.9209275538), (115, 184.6523679307), (156, 185.348282118), (171, 185.6839630874), (204, 185.9108538634), (223, 185.9115542381), (264, 185.9986744353), (382, 185.9986744353)]"
9,176.70668937683106,187.33920964540192,187.33920964540192,10.632520268570858,10.632520268570858,323,0.03398849999939557,34.71394590000273,5,4,"[(1, 174.9068506801), (3, 176.2028681742), (5, 176.3626651527), (11, 177.2431933995), (25, 177.3023116397), (31, 177.8191048294), (33, 178.3579986302), (34, 179.9323981382), (35, 184.8982460283), (37, 185.4064817167), (67, 185.8802376885), (81, 185.9669285589), (100, 186.9035579304), (106, 187.2458454564), (148, 187.3392096454), (323, 187.3392096454)]"
10,177.16558067321773,187.33920964540192,187.33920964540192,10.17362897218419,10.17362897218419,323,0.026119500005734153,33.057267799995316,5,4,"[(1, 174.9068506801), (3, 176.2028681742), (5, 176.3626651527), (11, 177.2431933995), (25, 177.3023116397), (31, 177.8191048294), (33, 178.3579986302), (34, 179.9323981382), (35, 184.8982460283), (37, 185.4064817167), (67, 185.8802376885), (81, 185.9669285589), (100, 186.9035579304), (106, 187.2458454564), (148, 187.3392096454), (323, 187.3392096454)]"
11,176.93817863464355,187.33920964540192,187.33920964540192,10.401031010758373,10.401031010758373,323,0.02832279999711318,33.138933800000814,5,4,"[(1, 174.9068506801), (3, 176.2028681742), (5, 176.3626651527), (11, 177.2431933995), (25, 177.3023116397), (31, 177.8191048294), (33, 178.3579986302), (34, 179.9323981382), (35, 184.8982460283), (37, 185.4064817167), (67, 185.8802376885), (81, 185.9669285589), (100, 186.9035579304), (106, 187.2458454564), (148, 187.3392096454), (323, 187.3392096454)]"
12,177.6126048278809,187.33920964540192,187.33920964540192,9.726604817521036,9.726604817521036,323,0.028156499996839557,32.861901899996155,5,4,"[(1, 174.9068506801), (3, 176.2028681742), (5, 176.3626651527), (11, 177.2431933995), (25, 177.3023116397), (31, 177.8191048294), (33, 178.3579986302), (34, 179.9323981382), (35, 184.8982460283), (37, 185.4064817167), (67, 185.8802376885), (81, 185.9669285589), (100, 186.9035579304), (106, 187.2458454564), (148, 187.3392096454), (323, 187.3392096454)]"
13,176.93991130828857,187.33920964540192,187.33920964540192,10.39929833711335,10.39929833711335,323,0.028030500005115755,32.975556700002926,5,4,"[(1, 174.9068506801), (3, 176.2028681742), (5, 176.3626651527), (11, 177.2431933995), (25, 177.3023116397), (31, 177.8191048294), (33, 178.3579986302), (34, 179.9323981382), (35, 184.8982460283), (37, 185.4064817167), (67, 185.8802376885), (81, 185.9669285589), (100, 186.9035579304), (106, 187.2458454564), (148, 187.3392096454), (323, 187.3392096454)]"
